name	eagleRequired (yes/no)	imageName (file name)	description (text)	pamphletpdfURL	pamphletbuyURL	workbookURL	tips (bulletpoint tab seperated)	
Camping	yes	camping	A really hard and time consuming merit badge all about camping!	http://www.people.vcu.edu/~albest/troop700/CampingMB/Camping%20Merit%20Badge%20Pamphlet%2035866.pdf	https://www.scoutshop.org/camping-merit-badge-pamphlet-655627.html	http://www.usscouts.org/mb/worksheets/camping.pdf	temp	temp
Chess	no	chessmb	Learn the basics of playing chess!	https://www.troop109nj.com/app/download/5844349/Chess+Merit+Badge+Pamphlet.pdf	https://www.scoutshop.org/mbp-chess-ebook-655992.html	http://usscouts.org/mb/worksheets/chess.pdf	temp2	temp2
Citizenship in the Community	yes	citincommunity	Learn to be a good person in your community!	https://www.bing.com/ck/a?!&&p=decc66c41e1ece29JmltdHM9MTY2OTE2MTYwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTIxNg&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cDovL3Vzc2NvdXRzLm9yZy9tYi93b3Jrc2hlZXRzL2NpdGl6ZW5zaGlwLWluLXRoZS1jb21tdW5pdHkucGRm&ntb=1	https://www.scoutshop.org/citizenship-in-the-community-merit-badge-pamphlet-655140.html	https://www.bing.com/ck/a?!&&p=b5fca07bc8cc152bJmltdHM9MTY2OTE2MTYwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTE3MA&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cDovL3Vzc2NvdXRzLm9yZy9tYi93b3Jrc2hlZXRzL2NpdGl6ZW5zaGlwLWluLXRoZS1jb21tdW5pdHkucGRm&ntb=1	temp	temp2
Citizenship in the Society	yes	citinsociety	Learn how to help out the society and change it for the better!	none	none	http://usscouts.org/mb/worksheets/Citizenship-in-Society.pdf	test	test
Citizenship in the Nation	yes	citinnation	Learn how to be a good citizen within your nation!	https://www.bing.com/ck/a?!&&p=d03865890f490a83JmltdHM9MTY3MTU4MDgwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTE1OQ&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cDovL3d3dy50cm9vcDUwMS5uZXQvd3AtY29udGVudC91cGxvYWRzL0NpdGl6ZW5zaGlwLWluLXRoZS1OYXRpb24tTWVyaXQtQmFkZ2UtUGFtcGhsZXQucGRm&ntb=1	https://www.scoutshop.org/citizenship-in-the-nation-merit-badge-pamphlet-655629.html	http://usscouts.org/mb/worksheets/Citizenship-in-the-Nation.pdf	temp	temp
Citizenship in the World	yes	citinworld	Learn how to be a good human being in the world!	https://www.troop109nj.com/app/download/5843726/Citizenship+in+the+World+Merit+Badge+Pamphlet.pdf	https://www.scoutshop.org/citizenship-in-the-world-merit-badge-pamphlet-655141.html 	http://www.usscouts.org/mb/worksheets/citizenship-in-the-world.PDF	temp3	temp3
Communications	yes	communications	A merit badge dedicated to helping you with public speech skills which are very important.	https://www.bing.com/ck/a?!&&p=80d6f6d8301ad9eeJmltdHM9MTY3MTU4MDgwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTE5Ng&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cHM6Ly93d3cudHJvb3AxMDluai5jb20vYXBwL2Rvd25sb2FkLzU4NDM3NjEvQ29tbXVuaWNhdGlvbitNZXJpdCtCYWRnZStQYW1waGxldC5wZGY&ntb=1	https://www.scoutshop.org/communication-merit-badge-pamphlet-653089.html	https://www.bing.com/ck/a?!&&p=f037e5a2811c550fJmltdHM9MTY3MTU4MDgwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTE3OA&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cDovL3Vzc2NvdXRzLm9yZy9tYi93b3Jrc2hlZXRzL0NvbW11bmljYXRpb24ucGRm&ntb=1	temp	temp
Cycling	yes	cycling	This merit badge teaches you how to operate a bike on a more advanced level.	https://www.bing.com/ck/a?!&&p=f40561648f8e1e1dJmltdHM9MTY3MTU4MDgwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTMwMg&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cDovL3JheWxpbjAxLmNvbS9tZXJpdGJhZGdlL21icGFtcGhsZXRzLzQ4Mjc0NzcyMC5wZGY&ntb=1	https://www.scoutshop.org/cycling-merit-badge-pamphlet-655187.html	https://www.bing.com/ck/a?!&&p=cad77d775d1c7224JmltdHM9MTY3MTU4MDgwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTE4Mw&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cDovL3d3dy51c3Njb3V0cy5vcmcvbWIvd29ya3NoZWV0cy9jeWNsaW5nLnBkZg&ntb=1	temp	temp
Cooking	yes	cooking	A challenging merit badge that tests your cooking skills!	https://www.bing.com/ck/a?!&&p=162584abf279e950JmltdHM9MTY2NzAwMTYwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTI1OA&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cHM6Ly93d3cudHJvb3AxMDluai5jb20vYXBwL2Rvd25sb2FkLzU3NjkwMjEvQ29va2luZytNZXJpdCtCYWRnZStQYW1waGxldCszNTg3OS5wZGY&ntb=1	https://www.scoutshop.org/cooking-merit-badge-pamphlet-655704.html	http://www.usscouts.org/mb/worksheets/Cooking.pdf	temp4	temp4
Emergency Preparedness 	yes	emergencyprepare	A merit badge that teaches you the most optimal steps to take when an emergency hits.	https://www.bing.com/ck/a?!&&p=764801fb60739535JmltdHM9MTY3MTU4MDgwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTI3MQ&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cHM6Ly9zY291dHdvcmtzLndlZWJseS5jb20vdXBsb2Fkcy8yLzMvNy84LzIzNzgxNDM1L2VfcHJlcF9wYW1waGxldC5wZGY&ntb=1	https://www.scoutshop.org/mbp-4c-emergency-prep-641576.html	https://www.bing.com/ck/a?!&&p=bad32aee22b69deaJmltdHM9MTY3MjcwNDAwMCZpZ3VpZD0zZGJiYmFjMi0wMWQ5LTY5OTktMGZmZi1hYTBhMDAzNzY4MTcmaW5zaWQ9NTE3MA&ptn=3&hsh=3&fclid=3dbbbac2-01d9-6999-0fff-aa0a00376817&u=a1aHR0cDovL3d3dy51c3Njb3V0cy5vcmcvbWIvd29ya3NoZWV0cy9FbWVyZ2VuY3ktUHJlcGFyZWRuZXNzLnBkZg&ntb=1	temp	temp
