id	id	requirement number	description	answer type	answer text	has image	url (link)	has video?	video link	image files
1-1-1	S	1a	Repeat from memory the Scout Oath, Scout Law, Scout motto, and Scout slogan. In your own words, explain their meaning.	text	Scout Oath: "On my honor, I will do my best, to do my duty to god and my country, to obey the scout law, to help other people at all times, to keep myself physically strong, mentally awake, and morally straight. || Scout Law: "A scout is trustworthy, helpful, loyal, friendly, courteous, kind, obedient, cheerful, thrifty, brave, clean, reverent. || Scout Motto: "Be Prepared" || Scout Slogan: "Do a good turn daily" // Meanings: | Scout Oath: You swear to do your best to god, which means following the religion's teaching, or defending the right to practice religion freely. You will be a part of making the United States be a strong and powerful country continuously. You will obey the 12 scout laws. You will help others in need whenever you can. You promise to take care of your body for all the adventures that lies ahead, keep your mind curious, be honest and open with relationships with others, and defend the rights of all people. | Scout Law: You promise to continuously support places and people such as your family, your school, your community, etc. You agree to help and care about other people without expecting a reward. You will always be friendly and kind to everyone you meet, regardless of their race, religion, etc. You will always use good manners around people. You will obey all the rules in a family, school, community, etc. You will always cheer on other scouts and look on the bright side of things. You will always conserve natural resources, time, money, property, etc. You will do the right things even if it means doing the wrong thing or not doing anything at all is easier. You will keep your surroundings clean, and avoid the use of profanity, pornography, or adult content. Lastly, you will always respect everyone around you even if they are wrong. | Scout Motto: Be prepared for anything that may come your way. The 10 essentials are a great example. If you're suddenly in a wilderness survival situation, your essential gear can help you survive substantially. | Scout Slogan: Do a good deed every day without expecting payment. Help others out!	no	https://upload.wikimedia.org/wikipedia/commons/6/6e/Nf_knots.png	no	-	testImage
1-1-2	S	1b	Explain what Scout spirits is. Describe some ways you have shown Scout spirit by practicing the Scout Oath, Scout Law, Scout motto, and Scout slogan.	text	The scout spirit is simply integrating the Scout Oath, Law, Motto, and Slogan as a part of your daily lives. Explain in your own words on how you have done that. How are you behaving in your family? Are you constantly helping others out? Are you kind to everyone? These are all great questions to answer.	no	https://www.keycdn.com/img/support/image-processing.png	no	-	testImage2
1-1-3	S	1c	Demonstrate the Scout sign, salute, and handshake. Explain when they should be used.	text video	Scout Sign: Use when reciting the scout oath, law, and outdoor code. || Scout Salute: Use when reciting the pledge of allegiance hand salute to the flag of USA || Scout Handshake: Use it exclusively for scouting to show friendship.	no	https://drive.google.com/uc?export=download&id=1c6BQFVW3VxSSGCBU5FsL8nSVmxUgWijh	no	-	testImage4
1-1-4	S	1d	Describe the First Class Scout badge and tell what each part stands for. Explain the significance of the First Class Scout badge.	image	-	no	https://upload.wikimedia.org/wikipedia/commons/9/91/Firstclassemblem.jpg	no	-	testImage3
1-1-5	S	1e	Repeat from memory the Outdoor Code. In your own words, explain what the Outdoor Code means to you.	text	"As an American, I will do my best, to be clean in my outdoor manners, to be careful with fire, to be considerate in the outdoors, and to be conservation-minded." || Meaning: You will still use your manners outdoors just like you're indoors. You will be careful with fire. Don't play with fire. Be considerate. Don't destroy nature. Leave the place better than you found it. And most importantly, conserve resources as they're limited!	no	-	no	-	
1-1-6	S	1f	Repeat from memory the Pledge of Allegiance. In your own words, explain its meaning.	text	"I pledge allegiance to the flag of the United States of America, and to the republic for which it stands, one nation under God, indivisible, with liberty and justice for all." In simple terms, reciting the pledge of allegiance is an oath of loyalty to the USA.	no	-	no	-	
1-2-0	S	2	After attending at least one Boy Scout troop meeting, do the following:	none	none	none	none	none	none	
1-2-1	S	2a	Describe how the Scouts in the troop provide its leadership.	text	There isn't a straight answer to this. However, think about it: Who seems to be in charge of the troop? Who seems to be in charge of your patrol? There sure are scouts doing something "out of the ordinary," right? What are they doing? How does that seem to be helping the troop as a whole? 	no	-	no	-	
1-2-2	S	2b	Describe the four steps of Scout advancement.	text	1. You learn (pretty self explanatory! you learn all the requirements within a rank on your own). 2. You are tested (a scout leader tests you on a certain requirement and passes you on it). 3. You are reviewed (you meet up with the board of review to talk about your experience). 4. You are recognized (you rank up).	no	-	no	-	
1-2-3	S	2c	Describe the Scouts BSA ranks and how they are earned.	text	The scout rank covers the foundation of what it takes to be successful in scouting. Ranks from tenderfoot to first class tests your knowledge and skills on a huge variety of topics like camping, hiking, nature, fitness, etc. And lastly, star, life, and eagle rank mostly requires you to earn merit badges, be active in your troop, and take on responsibilities.	no	-	no	-	
1-2-4	S	2d	Describe what merit badges are and how they are earned.	text	Very similar to rank advancement. First, you pick what you want to learn. Then, you get someone that is eligible to teach and give out the award for such subject. After that, you work with said mentor, and then, you get your badge!	no	-	no	-	
1-3-1	S	3a	Explain the patrol method. Describe the types of patrols that are used in your troop.	text	The patrol method is a bit hard to explain, but it's basically scouts in a patrol doing activities together, having fun, and sharing knowledge. Types of patrols can vary within each troop. But commonly, they have a new-scout patrol that holds mostly the new scouts, a regular patrol with scouts around first class, and an older-scout patrol for the experienced scouts.	no	-	no	-	
1-3-2	S	3b	Become familiar with your patrol name, emblem, flag, and yell. Explain how these items create patrol spirit.	text	Patrol spirit is basically forming this special bonds between your "teammates." It's like a mix of teamwork and camaraderie (which means, mutual trust and friendship among people who spend a lot of time together). As for the become familiar part, we can't really help you with that, unfortunately. But, on the bright side, it's super simple! Ask your patrol members! Practice it! 	no	-	no	-	
1-4-1	S	4a	Show how to tie a square knot, two half-hitches, and a taut-line hitch. Explain how each knot is used.	text video	Square knots are very useful for tying things together with other ropes being similar in diameter. Two-half hitches are very commonly used to set up tents via securing the rope on a stake with the rope being connected to a tarp. Taut-line hitch is useful when it is constantly being pulled by some other force while still needing to readjust the length of the rope.	yes	https://drive.google.com/uc?export=download&id=1c6BQFVW3VxSSGCBU5FsL8nSVmxUgWijh	yes	https://youtu.be/xvFZjo5PgG0	Square_knot bowline
1-4-2	S	4b	Show the proper care of a rope by learning how to whip and fuse the ends of different kinds of rope.	video	(test)	no	-	yes	https://youtu.be/xvFZjo5PgG0	
1-5-0	S	5	Tell what you need to know about pocketknife safety.	text	Always keep the knife closed or the blade covered when not using. Don't have multiple knives open at once. Always close the knife before handing to someone else. Also make sure they say "Thank you" so that it is acknowledged that they are actually handling the tool correctly. Always keep your knife sharp for easier controllability. Obey the regulations of places with knife rules. Don't carry open blades, don't throw a knife unless the knife is intended for throwing and is under a controlled environment. Last but not least, the "Blood Circle" make sure that nobody is in the range where your knife could accidentally cut someone.	no	-	no	-	
1-6-0	S	6	With your parent or guardian, complete the exercises in the pamphlet "How to Protect Your Children From Child Abuse: A Parent's Guide" as well as earning the Cyber Chip Award for your grade.	text	You're on your own for this one! Just a few tips, though: the pamphlet should be found at the very beginning of your scoutbook, and the cyber chip is pretty simple. Just know that your internet activity can and will get tracked. So think about what you're posting before you post, and always be respectful to others online. And oh, just a message from the creators of the app, please don't follow stupid trends that can get you in trouble, or even worse, injured or killed! One last thing to remember, misinformation is EVERYWHERE. Ask for sources if someone makes a claim online. If there are no sources, it is almost certain that what they're talking about is false.	no	-	no	-	
1-7-0	S	7	Since joining the troop and while working on Scout rank, participate in a Scoutmaster conference.	text	This one should be simple! Your scoutmaster should be able to lead the conversation. Just a note from the creators, you have nothing to worry about for this requirement! Ask a scoutmaster during your scouts meeting to have a meeting for this requirement. During the meeting, just be yourself. It's not a "this is a test oh god I'm gonna fail!" situation!	no	-	no	-	
										
2-1-1	T	1a	Present yourself to your leader, prepared for an overnight camping trip. Show the personal and camping gear you will use. Show the right way to pack and carry it.	text	This isn't something we can help ya with! But here are some tips. First, make sure you actually bring everything. Camping gear heavily varies based on where you camp. But generally, you would have a sleeping bag, a sleeping pad, a pillow, toiletries, extra clothing, a mess kit, and your ten essentials, as always. Of course, you could definetly have way more than that depending on your situation. A good tip from us would be that you should always be organized to make the best out of the space you have in whatever contains your items. Good luck! You got this!	no	-	no		
2-1-2	T	1b	Spend at least one night on a patrol or troop campout. Sleep in a tent you have helped pitch.	text	Unfortunately, we can't magically teleport to ya and help you pitch a tent! But you know who can help you? The older scouts in your troop! They would know how to pitch a tent (hopefully). Because every troop may use a different brand/type of tent for camping, it is hard to suggest tutorials on how to pitch a tent! Though, a lot of the times, they will be quite similar. So looking it up on YouTube could help!	no	-	no		
2-1-3	T	1c	Tell how you practiced the Outdoor Code on a campout or outing.	text	As an American, you promise to be clean in your outdoor manners, be careful with fire, be considerate, and always be conservation minded. Practice this on your campouts! Don't mess around with fire (you definetly don't wanna start a forest fire. yea?). Clean up after yourself. Leave the place better than you found it. Pick up trash. Don't ruin the landscape.	no	-	no		
2-2-1	T	2a	On the campout, assist in preparing one of the meals. Tell why it is important for each patrol member to share in meal preparation and cleanup.	text	Because there are basically an infinite amount of combinations of food you can make, we can't help you with how to help cook a meal! But you know who would know? Your grubmaster! They are in charge of making the food, and you could definetly give 'em a helping hand! Along with helping prepare a meal, you also could participate in cleaning up dishes or your camp kitchen after meals. The work in a patrol should be evenly distributed because we work together!	no	-	no		
2-2-2	T	2b	While on a campout, demonstrate an appropriate method of safely cleaning items used to prepare, serve, and eat a meal.	text	This goes back to how to do the dishes, basically! Be sure to clean your utensils thoroughly! Make sure that you don't cross-contaminate food. Let's say there's a scout who's allergic to carrots. Then, if you used a knife to cut carrots, make sure to clean it before using the knife to cut anything else! You don't know how sensitive someone is to something until it's too late!	no	-	no		
